,title,image_link,winery,country,province,grape_type,wine_type,alcohol,sweetness,acidity,body_rate,tannin_rate,food_pairing,price,vintage,size,link,aroma,meat,cheese,seafood,vegetables,dessert,floral,fruit,citrus,oriental_spice,oriental_leather,earth,dark_aroma,fruity_aroma,europe_a,europe_b,north_america,south_america,new_world,korea,red,white,wine_id,type
187,"메종 샹피, 부르고뉴 샤르도네 뀌베 에드므",http://img.wine21.com/WINE_MST/TITLE/0166000/W0166926.jpg?476553,메종 샹피,프랑스,부르고뉴,샤르도네,white,13.5,1.0,4.0,2.0,1.0,"식전주로도 좋으며 리조토, 브리 치즈 등과 잘 어울린다.",98000.0,2015,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=166926,"밝은 황금빛을 띠고 열대과일, 흰꽃, 구운 빵, 카라멜, 바닐라의 아로마가 느껴지며 산뜻하고 부드러운면서 지속되는 과일향과 산미가 훌륭한 와인이다.

오크통에서 숙성했다.
98,000원 (750㎖) 빈티지코리아",0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,187,a
189,"올리비에 르플레브, 오쎄 듀레스",http://img.wine21.com/WINE_MST/TITLE/0166000/W0166920.jpg?655437,올리비에 르플레브,프랑스,부르고뉴,샤르도네,white,12.5,1.0,4.0,2.0,1.0,매콤한 소스에 버무린 생선요리나 새우요리 등과 잘 어울린다.,200000.0,2015,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=166920,"밝은 볏짚색을 띠고 생아몬드, 사과, 비스켓의 구수한 향이 지속적으로 느껴지며 입 안에서는 시트러스와 함께 청사과, 꽃향의 아로마가 조화를 이루다가 끝에 미네랄이 느껴지는 우아한 와인이다.

프렌치 오크통에서 12개월간 숙성했다.
200,000원 (750㎖) 빈티지코리아",1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,189,a
209,아이들와일드 아르네이스,http://img.wine21.com/WINE_MST/TITLE/0166000/W0166850.jpg?447005,아이들와일드,미국,캘리포니아,아르네이스,white,7.0,1.0,4.0,2.0,1.0,"견과류와 살짝 구운 채소, 치즈 등과 잘 어울린다.",85000.0,2018,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=166850,"밝은 볏짚을 띠고 청사과, 자스민 티, 백도, 회향, 그리고 레몬의 아로마가 느껴지며 쌉쌀한 아몬드 맛이 입안을 살짝 감도며 산도를 높여주는 것으로 마무리 되는 와인이다.
85,000원 (750㎖) 보틀샤크",1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,209,a
212,마우릿슨 소비뇽 블랑,http://img.wine21.com/WINE_MST/TITLE/0166000/W0166846.jpg?996251,마우릿슨,미국,캘리포니아,소비뇽 블랑,white,7.5,1.0,4.0,2.0,1.0,"따뜻한 여름 저녁 애피타이저나 샐러드, 해산물 요리와 같은 음식과 매칭하기 좋은 와인이다.",71000.0,2018,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=166846,"연한 볏짚색을 띠고 코에서는 자몽, 목련잎, 젖은 돌, 그리고 야생 캐모마일의 아로마가 잔잔히 느껴지며 입 안에서는 라임, 중반부에는 허니 써클, 오렌지의 맛과 뚜렷하고 신선한, 활기가 넘치는 맛을 보이는 와인이다.

71,000원 (750㎖) 보틀샤크",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,212,a
264,"팍스톤, 게서 화이트",http://img.wine21.com/WINE_MST/TITLE/0166000/W0166602.jpg?620570,팍스톤,호주,사우스,소비뇽 블랑,white,12.5,1.0,4.0,2.0,1.0,"샐러드, 갑각류, 연어, 참치 등과 잘 어울린다.",53000.0,2017,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=166602,"팍스톤 와이너리는 남호주 맥라렌 지역의 유기농 및 바이오 다이나믹 포도 재배의 선두에 있는 대표적인 와이너리이다. David Paxton(Viticulturist and Owner)과 Richard Freebairn(Winemaker)은 수십 년간의 경험을 결합하여 바이오 나이나믹 및 올가닉 방식을 채택하여 가장 건강한 포도 나무로 자연의좋은 기운이 전해지는 맛과 향의 최고 품질의 와인을 생산하고 있다.

게서 화이트는 소비뇽 블랑, 샤르도네, 피노 그리 품종을 블렌딩한 와인이다. 옅은 밀짚색을 띠며 신선하고 향긋한 자몽과 같은 열대 과일 향이 조화를 이룬다. 멜론, 레몬 및 라임 맛이 풍부하게 느껴지며 둥근 질감과 긴 여운이 특징인 경쾌하고 가벼운 바디의 와인이다. 스테인리스 스틸 탱크에서 12~16도 사이로 발효한다.

2017년은 맥라렌 베일에서 와인 생산에 있어 환상적인 해였다. 당도와 산도의 균형이 최적인 야간에 수확하였고, 와인은 발효가 끝날 때까지 황을 첨가하지 않고 스테인리스 스틸 통에서 섭씨 12~16도 사이에 발효되었다.


53,000원 (750㎖) 유와인(주)",0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,264,a
283,"미션 에스테이트 와이너리, 소비뇽 블랑",http://img.wine21.com/WINE_MST/TITLE/0166000/W0166525.jpg?606924,미션 에스테이트 와이너리,뉴질랜드,노스,소비뇽 블랑,white,12.5,1.0,4.0,2.0,1.0,"해산물 요리, 닭가슴살 샐러드 등과 잘 어울린다.",46000.0,2018,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=166525,"옅은 볏집색을 띠며 매우 신선한 향들로 가득한 뉴질랜드 소비뇽 블랑 와인이다. 라임, 다양한 허브, 패션 프루트의 아로마가 가득 풍기며, 입 안을 가득 채우는 적당한 무게감과 미네랄은 적절하게 균형감을 이루는 산도와 함께 드라이하면서 매우 깔끔한 뒷맛을 선사한다. 뉴질랜드 말보로 지역을 대표하는 품종인 소비뇽 블랑의 청량감을 극대화한 와인이다.

프리 런 주스와 약하게 압착한 즙만을 사용한다. 발효 후, 스테인리스 탱크에서 Lees Contact을 진행하며 함께 숙성한다.
46,000원 (750㎖) 유와인(주)",1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,283,a
284,"트라웃 밸리, 리저브 소비뇽 블랑",http://img.wine21.com/WINE_MST/TITLE/0166000/W0166520.jpg?342983,트라웃 밸리 와이너리,뉴질랜드,사우스,소비뇽 블랑,white,12.5,1.0,4.0,1.0,1.0,"해산물, 제철 아스파라거스, 굴 등과 잘 어울린다.",64000.0,2016,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=166520,"더운 여름으로 빈티지가 빨리 진행되었다. 조금 빨리 내린 비로 숙성이 천천히 되었고, 좋은 과일의 향가ㅗ 맛이 잘 나타나게 되었다. 전통적인 시원한 기후에서의 허브의 향과 신선함과 상쾌함을 가진 구즈베리와 녹색 고추의 풍미 등이 잘 어우러져 있다.

깨끗한 녹색을 띠며, 허브향을 담은 구즈베리와 녹색 고추의 향을 느낄 수 있다. 구즈베리, 포도와 감귤류의 맛을 느낄 수 있다. 조화롭고 싱싱한 상쾌함과 입 안 가득 신선한 피니쉬를 맛볼 수 있는 와인이다.
64,000원 (750㎖) 유와인(주)",0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,284,a
385,"코노, 소비뇽 블랑",http://img.wine21.com/WINE_MST/TITLE/0164000/W0164981.jpg?730518,코노,뉴질랜드,사우스,소비뇽 블랑,white,13.0,1.0,4.0,1.0,1.0,"해산물 요리, 생선요리, 샐러드 등과 잘 어울린다.",24000.0,2018,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=164981,"밝게 빛나는 연둣빛을 띄고 있으며, 말보로 소비뇽 블랑은 패션프루츠, 그레이프프루츠, 멜론 그리고 구스베리가 어우러진 신선한 과일향을 느낄 수 있다. 입 안에서 느껴지는 시트러스, 잘 익은 열대과일의 맛과 허브 노트가 뛰어난 산미, 미네랄, 그리고 마지막에 느껴지는 달콤한 잔향과 함께 조화를 이룬다. 와인에서 느껴지는 신선한 소비뇽 블랑 고유의 풍미가 깔끔하고 긴 여운을 선사하는 와인이다.

24,800원 (750㎖) 신세계엘앤비",0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,385,a
386,아와테레 소비뇽 블랑,http://img.wine21.com/WINE_MST/TITLE/0164000/W0164980.jpg?384516,코노,뉴질랜드,사우스,소비뇽 블랑,white,12.5,1.0,4.0,2.0,1.0,"해산물 요리, 생선요리, 샐러드 등과 잘 어울린다.",15000.0,2018,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=164980,"반짝거리는 옅은 금색을 띠고 있으며 시트러스, 허브 등의 밝은 아로마가 코를 자극한다. 입안에서는 쥬시한 라임과 잘 익은 열대 과일의 풍미가 느껴진다. 루비색의 자몽과 구아바의 달콤함이 자극적인 미네랄리티와 절묘한 균형을 이루는 와인이다.

말보로의 포도밭 중 선별한 밭에서 수확한 소비뇽 블랑을 낮은 온도에서 발효해 신선하고 생생한 느낌을 살렸다. 발효를 완료할 후 짧은 시간 동안 효모찌꺼기와 접촉해 풍미를 더하고 스테인레스 스틸 탱크로 옮긴다. 짧은 숙성기간을 거친 뒤 출시해 와인의 신선한 캐릭터를 살렸다.

아와테레 밸리(Awatere Valley)는 뉴질랜드 말보로 지역의 유명한 세부산지 세곳 중 하나로 말보로의 남동쪽에 위치해 있다. 말보로 전지역의 포도밭 중 아와테레에 위치한 포도밭은 30%정도 규모이며, 주로 소비뇽 블랑으로 허베이셔스한 화이트 와인을 생산한다.
15,800원 (750㎖) 신세계엘앤비",0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,386,a
443,블랙 코타지 소비뇽 블랑,http://img.wine21.com/WINE_MST/TITLE/0164000/W0164571.jpg?129405,블랙 코타지,뉴질랜드,사우스,소비뇽 블랑,white,13.5,1.0,4.0,2.0,1.0,"샐러드 류, 비빔국수, 해산물 초무침 등과 잘 어울린다.",70000.0,2019,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=164571,"연한 옐로우 컬러에 신선한 구아바, 구스베리, 시트러스 계열, 열대 과일 등의 풍부한 과실 향과 부드러운 터치와 기분 좋은 산미를 느낄 수 있다. 으깨진 허브와 감귤, 멜론 맛으로 긴 피니쉬를 즐길 수 있는 와인이다.

뉴질랜드 와인의 대표 생산지인 말보로 지역, 그 중에서도 와이라우(Wairau), 남부(Southern Valleys) 그리고 아와테레(Awatere)에서 포도들을 재배하며, 이 지역들은 기후 차가 큰 특징을 갖고 있는데, 낮에는 30도 까지 온도가 올라가지만 밤에는 시원한 기후를 유지함으로써 포도의 적절한 산도, 타닌이 형성되기 적합한 환경을 갖추고 있다.
70,000원 (750㎖) 케이제이무역",0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,443,a
478,"포틴핸즈, 샤도네이",http://img.wine21.com/WINE_MST/TITLE/0164000/W0164178.png?819359,14핸즈 와이너리,미국,워싱턴주,샤르도네,white,13.5,1.0,4.0,2.0,1.0,"로스트 치킨, 레몬 페퍼 연어, 체다 치즈 등과 잘 어울린다.",90000.0,2015,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=164178,"상쾌하고 가벼운 스타일의 샤도네이로 달콤한 라임, 배의 아로마와 스파이스감이 느껴진다. 정제된 과실감과 적절한 산도가 어우러져 버터, 카라멜, 그리고 바닐라의 느낌을 만들어내는 와인이다.

90,000원 (750㎖) 동원와인플러스",1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,478,a
544,"테사리, 그리셀라 소아베 클라시코",http://img.wine21.com/WINE_MST/TITLE/0163000/0163256.jpg?420838,테사리,이탈리아,베네토,가르가네가,white,12.5,1.0,4.0,2.0,1.0,"에피타이저, New England style 대구스튜, 오징어먹물 리소토 등과 잘 어울린다.",50000.0,2018,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=163256,"밝게 빛나는 골든 짚 컬러를 띠며, 엘더플라워, 카모마일, 미네랄, 매실, 복숭아, 시트러스, 으깬 조개껍질 향이 느껴진다. 상쾌하고 균형감이 좋은 산도를 가진 와인이다.

화산재의 점토질 토양에서 재배되어 풍부한 미네랄과 아로마를 얻고, 수령 60~90년 포도나무에서 수확한다.
50,000원 (750㎖) 휴에프 와인",1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,544,a
633,"사쏘레갈레, 베르멘티노",http://img.wine21.com/WINE_MST/TITLE/0162000/W0162866.jpg?356770,사쏘레갈레 (테누타 사쏘레갈레),이탈리아,토스카나,베르멘티노,white,9.0,1.0,4.0,2.0,1.0,"야채 샐러드나 해산물 샐러드 그리고 절인 생선류, 강렬한 허브를 곁들인 메인 코스와도 잘 울린다. 특히 랍스터 요리와 잘 어울린다.",49000.0,2017,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=162866,"투명한 노란빛을 띠고, 레몬, 감귤 그리고 복숭아 향과 함께 약간의 지중해 허브의 향이 느껴지며, 산도와 알코올의 조화로움이 입안에서의 구조를 단단하게 만들어주며 고소한 풍미가 강렬히 느껴지는 와인이다.
49,000원 (750㎖) 나라셀라",0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,633,a
643,테 파 소비뇽 블랑,http://img.wine21.com/WINE_MST/TITLE/0162000/W0162809.jpg?644128,테 파 와인,뉴질랜드,사우스,소비뇽 블랑,white,12.5,1.0,4.0,2.0,1.0,"재료 본연의 느낌을 잘 살릴 수 있는 샐러드, 해산물 요리 등과 잘 어울린다.",58000.0,2017,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=162809,"강렬한 라임, 자몽 제스트 향이 가득하며 패션프루트와 엘더 플라워의 아로마를 가진다. 신선한 피니시의 느낌은 일반적인 말보로 지역의 와인의 특징을 보인다. 과실, 꽃 느낌의 아로마와 신선한 피니시가 만나 음식과 페어링 할때 신선한 재료의 느낌을 살려낸다. 스테인리스 배럴 숙성되었다.
58,000원 (750㎖) 동원와인플러스",0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,643,a
702,녹스 블랑코,http://img.wine21.com/WINE_MST/TITLE/0162000/W0162497.jpg?247047,보데가스 피놀드 ,스페인,페네데스,마카베오,white,11.0,1.0,5.0,2.0,1.0,"생선 회, 랍스터 등 갑각류, 조개 요리, 바질 페스토 파스타, 토마토 소스 파스타, 크림 소스 파스타, 피자 등
",42000.0,2017,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=162497,"외관은 약간의 초록빛이 감돌며 밝게 빛나는 노란 색을 띤다. 향에서는 신선한 과실향 중에서도 시트러스 계열의 과실 향들이 인상적이다. 입에서는 신선한 산도가 와인에 전반적인 생동감을 준다. 생선 회, 랍스터 등 갑각류, 조개 요리, 바질 페스토 파스타, 토마토 소스 파스타, 크림 소스 파스타, 피자 등과 잘 어울린다. 각 품종이 가진 아로마를 극대화하기 위해 저온에서 침용 단계를 거친다.

42,000원 (750㎖) 더블유에스통상",1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,702,a
865,"바타시올로, 가비 디 가비 그라네",http://img.wine21.com/WINE_MST/TITLE/0161000/W0161403.jpg?626147,바타시올로 ,이탈리아,피에몬테,코르테제,white,13.0,1.0,4.0,2.0,1.0,"에피타이저, 파스타, 버섯리조또, 해산물과 가금류 요리와 잘 어울린다.",86000.0,2017,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=161403,"노란 볏짚 색상 과초록빛이 감도는 느낌으로 신선한 흰꽃류의 아로마틱한 향과 드라이, 기분좋은 신선함, 긴여운. 끝에서는 아몬드의 느낌이 나타나는 와인이다.

바타시올로는 랑게(Langhe)의 중심부는 물론, 이지역의 훌륭하다고 알려진 다양한 생산지에서 바롤로를 비롯하여 바르바레스코, 바르베라다스티, 돌체토달바, 모스카 토다스티, 랑게샤르도네, 가비 디 가비 등의 와인을 생산하고 있다. 특히, 바롤로의 최상급에 위치하는 서로 다른 5개의 크뤼인 브리꼴리나(Briccolina), 체레퀴오 (Cerequio), 보스까레또(Boscareto), 브루나떼(Brunate), 부씨아(Bussia) 바롤로 와인들은 최고만를 지향하는 바타시올로 와이너리의 정체성을 여지없이 드러내는 아이콘이라 할 수 있다.

<가비디가비그라네>는 최고의 코르테제가 재배되는 그라네(GRANÉE) 마을에서 손수확을 거쳐 스테인레스스틸에서 숙성되어 생산되는 와인으로 산뜻한 산도와 긴 여운의 향과 맛이 특징이다.
86,000원 (750㎖) (주)와이넬",0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,865,a
868,말보로 썬 소비뇽 블랑,http://img.wine21.com/WINE_MST/TITLE/0161000/W0161299.jpg?411231,생 클레어 패밀리 에스테이트,뉴질랜드,사우스,소비뇽 블랑,white,13.0,1.0,5.0,2.0,1.0,"신선한 해산물, 파스타 또는 흰색 고기와 최고의 궁합을 보여준다.",45000.0,2015,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=161299,"구스베리. 패션후르츠, 그리고 꿀의 풍미가 함께나는 특유의 신선한 말보로 와인이다.

가장 인기 있는 포도 품종은 국제적으로 인정받은 소비뇽 블랑이며, 낮은 지대의 Wairau 밸리는 비옥한 땅과 자유 배수 그리고 미사질 양토의 토양은 소비뇽 블랑의 이상적인 재배 조건을 제공한다.
45,000원 (750㎖)",1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,868,a
