,title,img_link,alcohol,size,wine_type,sparkling,sweetness,grape_type,country,aroma,flavor,winery,color,food_pairing,charms,link
10,San Felice Brunello di Montalcino DOCG ,http://www.wine.co.kr/upload/products/wineList/italy/SanFeliceBrunellodiMontalcinoDOCG.png,13.5%,750ml,Red,Still,Dry,기타,"이태리, 토스카나, 몬탈치노","담배 잎, 가죽, 로즈마리의 향이 느껴지며 전체적으로는 붉은 과일의 향","벨베티만 부드러운 느낌의 와인, 체리의 맛이 피니쉬에 느껴집니다. 장기 숙성이 가능한 와인으로 숙성될 수록 깊은 맛을 냅니다.",산펠리체,풍부하고 깊은 루비색,"로스트, 사냥고기, 페코리노 치즈 등",2011년 Wine Spectator Top 100 와인 중 4위에 선정,http://www.wine.co.kr/wine/324
11,CONNETABLE TALBOT ,http://www.wine.co.kr/upload/products/wineList/france/CONNETABLETALBOT.png,13.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","프랑스, 그랑크뤼","강렬하고 아름다운 루비레드,말린 자두, 블랙베리, 카시스, 쵸콜릿, 바닐라, 카라멜, 향신료의 복잡한 향,매우 풍부하고 농축된 질감을 지녔으며, 과일향과 나무 향이 적절히 조화를 이루고 있다.",샤또 딸보의 세컨드 와인. 세컨드 와인중에서 단연코 가장 대중에게 사랑받는 와인입니다.,CONNETABLE TALBOT,짙은 보라색,"전골, 수육, 포크 바베큐 립, 꼬치구이, 브뤼 치즈, 안심 요리 등",Parker Point 0,http://www.wine.co.kr/wine/413
12,2% Sweet White ,http://www.wine.co.kr/upload/products/wineList/italy/2SweetWhite.png,2.0%,750ml,White,Still,Sweet,모스카토,"이태리, 피에몬테, 아스티",상큼하고 매력적인 아로마,"깨끗한 모스카토의 아로마가 정교한 과일향과 조화를 잘 이뤄 여성 뿐만 아니라, 모든 사람들에게 사랑받을 와인이 될 것입니다.",산테로,녹색빛이 도는 밝은 밀짚색,"대부분의 서양음식 뿐만 아니라, 한국음식과도 잘 매칭 됩니다.",2% 모스카토는 신의물방울에 소개된 피에몬테 아스티 지역의 세계적인 와이너리,http://www.wine.co.kr/wine/349
13,Gran Tierra Red ,http://www.wine.co.kr/upload/products/wineList/spain/GranTierraRed.png,11.0%,750ml,Red,Still,Semi Sweet,기타,"스페인, 발데빼냐스",신선한 과일의 아로마,부드러운 탄닌의 밸런스와 부드러운 여운을 보여주는 이 와인은 달콤한 맛이 잘 살아 있어 와인을 처음 드시는 분들도 쉽게 즐기실 수 있는 미디엄 스위트 레드 와인입니다.,Felix Solis,바이올렛의 컬러가 살짝 감도는 반짝이는 루비색,"파스타, 가금류, 육류",합리적인 가격과 부담없는 맛으로 인기 있는 스페인 와인,http://www.wine.co.kr/wine/240
14,Gran Tierra White ,http://www.wine.co.kr/upload/products/wineList/spain/GranTierraWhite.png,10.5%,750ml,White,Still,Semi Sweet,기타,"스페인, 발데빼냐스",각종 꽃과 열대 과일의 아로마,"드라이하지 않고 단맛이 잘 살아 있는 미디엄 스위트 와인으로 일상적이고 캐쥬얼한 자리에도 잘 어울리며, 특히 와인을 처음 접하시는 분들도 쉽게 즐길 수 있는 와인입니다.",Felix Solis,신선한 레몬칼라,"생선 및 각종 해산물 요리, 샐러드",합리적인 가격과 부담 없는 맛으로 인기 있는 스페인 와인,http://www.wine.co.kr/wine/241
15,Ch' Carmarsac Cuvee Prince Noir ,http://www.wine.co.kr/upload/products/wineList/france/ChCarmarsacCuveePrinceNoir.png,13.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","프랑스, 보르도, 오메독","붉은 과실향,약간의 흙내음",둥글고 과일향이 풍부하며 산도와 탄닌의 적절한 균형감,La Passion,짙은 루비빛,"각종 고기류, 치즈, 각종 이태리 요리 (스파게티) 등",전형적인 보르도의 클래식한 스타일로 선물용으로도 손색없는 와인이다.,http://www.wine.co.kr/wine/477
16,HOBNOB Cabernet Sauvignon ,http://www.wine.co.kr/upload/products/wineList/france/HOBNOBCabernetSauvignon.png,13.0%,750ml,Red,Still,Dry,카버네 소비뇽,"프랑스, 랑귀독",블루베리 아로마가 처음 코에 와 닿으며 적색과일과 함께후추 등의 향신료향이 느껴진다.,까버네 소비뇽 특유의 탄닌과 산도 그리고 잘 짜여진 구조감으로 마무리 지어진다. 친구들이나 지인들과 모이는 자리에 부담없이 즐기기에 적격인 와인이다.,홉노브,짙은 루비빛,"구운고기, 불고기, 각종 고기 및 치즈류 등",Casual스타일의 Easy-Drink 프랑스 와인,http://www.wine.co.kr/wine/449
17,Casa Silva Coleccion Merlot ,http://www.wine.co.kr/upload/products/wineList/chile/CasaSilvaColeccionMerlot.png,13.0%,750ml,Red,Still,Dry,멜롯,"칠레, 콜차구아 벨리(Colchagua Valley)","과일향, 자두, 라스베리, 및 화이트 후추향","구조감이 뛰어나며, 풀바디하면서도 균형잡힌 맛을 느낄 수 있습니다.",Casa Silva,반짝이면서도 짙은 루비색,"붉은 육류, 파스타, 치즈",칠레에서 가장 빠르게 성장한 Wine of Chile Awards 2003 Carmenere 품종으로 최다 수상한 대외적으로 인정받고 있는 와이너리,http://www.wine.co.kr/wine/161
18,Casa Silva Coleccion Chardonnay ,http://www.wine.co.kr/upload/products/wineList/chile/CasaSilvaColeccionChardonnay.png,13.5%,750ml,Red,Still,Dry,샤도네이,"칠레, 콜차구아 벨리(Colchagua Valley)",버터향과 열대 과일향이 오크향과 잘 조화를 이루고 있습니다.,신선하면서도 이국적인 맛이 나며 좋은 구조감과 균형감을 가지고 있으면서 오래 지속되는 끝 맛이 일품입니다.,Casa Silva,밝은 녹색 빛이 감도는 노란색 빛깔,"흰살 육류, 각종 해산물, 부드러운 치즈",칠레에서 가장 빠르게 성장한 Wine of Chile Awards 2003 Carmenere 품종으로 최다 수상한 대외적으로 인정받고 있는 와이너리,http://www.wine.co.kr/wine/162
19,Casa Silva Coleccion Cabernet ,http://www.wine.co.kr/upload/products/wineList/chile/CasaSilvaColeccionCabernet.png,13.5%,750ml,Red,Still,Dry,카버네 소비뇽,"칠레, 콜차구아 밸리(Colchagua Valley )",짙은 루비 칼라. 약간의 오크향과 쵸콜릿 향이 자두와 체리향,"입 안에서는 매력적이면서 파워풀하고, 우아하면서도 잘 균형잡힌 구조감을 느끼실 수 있습니다. 지속적이면서도 부드러운 탄닌 맛과 오래가는 끝 맛이 인상적입니다.",Casa Silva,짙은 루비 빛,"붉은 육류, 파스타, 치즈",칠레에서 가장 빠르게 성장한 Wine of Chile Awards 2003 Carmenere 품종으로 최다 수상한 대외적으로 인정받고 있는 와이너리,http://www.wine.co.kr/wine/160
20,Casa Silva Quinta Generacion Cab-Car-Petit Verdo ,http://www.wine.co.kr/upload/products/wineList/chile/CasaSilvaQuintaGeneracionCabCarPetitVerdo.png,14.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 기타","칠레, Colchagua Valley","붉은 과일향, 후추 커피향이 잘 조화를 이루고 있으며, 약간의 쵸콜릿 향이 조화를 더욱 돋보이게 합니다","입 안에서는 잘 숙성되어 있으면서도, 파워풀하고 중후한 바디감을 느끼실 수 있습니다. 부드러우면서도 스위티한 탄닌 맛이 오래 지속되는 와인입니다.",Casa Silva,짙은 루비 빛,"붉은 육류, 파스타, 치즈",칠레에서 가장 빠르게 성장한 Wine of Chile Awards 2003 Carmenere 품종으로 최다 수상한 대외적으로 인정받고 있는 와이너리,http://www.wine.co.kr/wine/166
21,San Felice Rosso di Montalcino DOCG ,http://www.wine.co.kr/upload/products/wineList/italy/SanFeliceRossodiMontalcinoDOCG.png,13.0%,750ml,Red,Still,Dry,기타,"이태리, 토스카나, 몬탈치노","체리, 블랙베리의 향과 함께 자극적인 삼나무향",훌륭한 구조감과 함께 풍부한 과일 맛을 느낄 수 있습니다.,산펠리체,루비레드,"돼지고기, 송아지 정강이살 요리, 고기나 버섯이 들어간 파스타",장기 숙성을 해야하는 부르넬로 디 몬탈치노에 비해 좀 더 짧게 숙성을 해서 쉽고 가볍게 마실 수 있도록 만든 와인입니다.,http://www.wine.co.kr/wine/326
22,San Felice Brunello di Montalcino DOCG ,http://www.wine.co.kr/upload/products/wineList/italy/SanFeliceBrunellodiMontalcinoDOCG.png,13.5%,750ml,Red,Still,Dry,기타,"이태리, 토스카나, 몬탈치노","담배 잎, 가죽, 로즈마리의 향이 느껴지며 전체적으로는 붉은 과일의 향","벨베티만 부드러운 느낌의 와인, 체리의 맛이 피니쉬에 느껴집니다. 장기 숙성이 가능한 와인으로 숙성될 수록 깊은 맛을 냅니다.",산펠리체,풍부하고 깊은 루비색,"로스트, 사냥고기, 페코리노 치즈 등",2011년 Wine Spectator Top 100 와인 중 4위에 선정,http://www.wine.co.kr/wine/324
23,CONNETABLE TALBOT ,http://www.wine.co.kr/upload/products/wineList/france/CONNETABLETALBOT.png,13.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","프랑스, 그랑크뤼","강렬하고 아름다운 루비레드,말린 자두, 블랙베리, 카시스, 쵸콜릿, 바닐라, 카라멜, 향신료의 복잡한 향,매우 풍부하고 농축된 질감을 지녔으며, 과일향과 나무 향이 적절히 조화를 이루고 있다.",샤또 딸보의 세컨드 와인. 세컨드 와인중에서 단연코 가장 대중에게 사랑받는 와인입니다.,CONNETABLE TALBOT,짙은 보라색,"전골, 수육, 포크 바베큐 립, 꼬치구이, 브뤼 치즈, 안심 요리 등",Parker Point 0,http://www.wine.co.kr/wine/413
24,Cotes-du-Rhone Samorens ,http://www.wine.co.kr/upload/products/wineList/france/20170331044752690.png,14.0%,750ml,Red,Still,Dry,기타,"프랑스, 론",잘 익은 붉은 과실류의 향이 느껴집니다.,밸런스가 우수한 와인이며 부드럽고 섬세한 타닌 그리고 라즈베리와 블랙베리 등의 짙은 과실향이 조화를 이루고 있습니다.,Ferraton Pere & FIls,짙은 루비빛,"육류, 구운 가지 요리, 치즈류 등","Tradition range는 샤또네프 뒤 파프부터 꼬뜨 로티까지, 론 지역 전반에 걸쳐 다양한 토양의 테루아 별로 최상의 클래식 와인을 선보입니다. 친환경적인 포도 재배 방식 또한 많은 이들로부터 각광 받고 있습니다.",http://www.wine.co.kr/wine/661
25,Cotes-du-Rhone Samorens ,http://www.wine.co.kr/upload/products/wineList/france/20170403012213327.png,13.0%,750ml,White,Still,Dry,기타,"프랑스, 론",아카시아류의 꽃의 향과 과실류의 향이 느껴집니다.,"밸런스가 우수한 와인으로, 클레레트 품종이 주는 산뜻한 느낌과 그르나슈 품종이 주는 바디감과 부드러움이 특징입니다.",Ferraton Pere & FIls,밝고 은은한 금빛,"생선 요리, 디저트, 과일류 등","Tradition range는 샤또네프 뒤 파프부터 꼬뜨 로티까지, 론 지역 전반에 걸쳐 다양한 토양의 테루아 별로 최상의 클래식 와인을 선보입니다. 친환경적인 포도 재배 방식 또한 많은 이들로부터 각광 받고 있습니다.",http://www.wine.co.kr/wine/662
26,Cote Rotie L’Eglantine ,http://www.wine.co.kr/upload/products/wineList/france/20170403013647379.png,13.5%,750ml,Red,Sparkling,Dry,쉬라즈,"프랑스, 론",븕은 과실류의 향과 블랙올리브의 향이 느껴집니다.,"풀바디의 와인으로 강한 타닌이 느껴진다. 옅은 바닐라 오크와 더불어 라즈베리, 체리 등 과실류의 맛이 미네랄 캐릭터와 조화를 이루며 우아한 피니시가 특징입니다.",Ferraton Pere & FIls,진한 루비빛,"양, 고기 등의 붉은 육류, 숙성된 치즈 등","Tradition range는 샤또네프 뒤 파프부터 꼬뜨 로티까지, 론 지역 전반에 걸쳐 다양한 토양의 테루아 별로 최상의 클래식 와인을 선보입니다. 친환경적인 포도 재배 방식 또한 많은 이들로부터 각광 받고 있습니다.",http://www.wine.co.kr/wine/663
27,Cote du Rhone ,http://www.wine.co.kr/upload/products/wineList/france/20170403035853486.png,14.0%,750ml,Red,Still,Dry,기타,"프랑스, 론",잘 익은 붉은 과실류의 향이 느껴집니다.,밸런스가 우수한 와인이며 부드럽고 섬세한 타닌 그리고 라즈베리와 블랙베리 등의 짙은 과실향이 조화를 이루고 있습니다.,Vidal-Fleury,루비의 암적색,"육류, 구운 가지 요리, 치즈류 등","Robert Parker : 87 / 100, Jancis Robinson : 16 / 20",http://www.wine.co.kr/wine/677
28,Cote du Rhone Villages ,http://www.wine.co.kr/upload/products/wineList/france/20170403031413801.png,13.5%,750ml,Red,Still,Dry,기타,"프랑스, 론","블랙베리, 체리, 자두 등의 아로마","그르나슈 특유의 부드러운 타닌과 체리, 후추 등의 짙은 향이 조화를 이루며, 밸런스가 뛰어난 와인입니다.",Vidal-Fleury,짙고 어두운 붉은색,"육류, 달고기 요리, 치즈 등",Robert Parker ? 87-89 / 100,http://www.wine.co.kr/wine/672
29,Cote-Rotie Brune & Blonde ,http://www.wine.co.kr/upload/products/wineList/france/20170403041205133.png,13.5%,750ml,Red,Still,Dry,기타,"프랑스, 론","과일류의 아로마와 후추, 스모크, 블랙올리브 등의 향","부드럽고 풍부한 타닌이 특징인 풀바디 와인으로 옅은 바닐라 오크와 더불어 라즈베리, 체리 등 과실류의 맛이 미네랄 캐릭터와 조화를 이루며 우아한 피니시가 특징입니다.",Vidal-Fleury,카민빛의 암적색,"붉은 육류, 치즈 등",Robert Parker : 90-92 / 100,http://www.wine.co.kr/wine/680
30,Condrieu ,http://www.wine.co.kr/upload/products/wineList/france/20170403034831020.png,13.5%,750ml,White,Still,Dry,기타,"프랑스, 론",풍부한 과실향과 미네랄 아로마가 느껴집니다.,"우아한 산도와 싱그러운 과실의 향이 조화가 우수하며, 미네랄 아로마가 생동감을 더해 신선하고 기분 좋은 피니시를 이끌어냅니다.",Vidal-Fleury,밝은 밀짚색,"가리비 요리, 흰 생선 요리, 염소치즈 등",Vidal-Fleury는 1781년에 설립된 이래 론 지역에서 가장 오랜 세월 동안 운영되어 온 와이너리입니다. 오늘날에는 가장 우수한 떼루아의 다양한 포도밭에서 품질 높은 와인을 빚어내고 있습니다.,http://www.wine.co.kr/wine/675
31,Cuvee Special Blanc ,http://www.wine.co.kr/upload/products/wineList/france/Cuvee_Special_Blanc.png,12.5%,750ml,White,Still,Dry,기타,"프랑스, 스페인",집중도 있고 꽃향기 그리고 사과 및 배향,굉장히 상쾌하고 밝은 Fresh함이 인상적이다.<br />둥글면서도 입안에서 신선한 기분을 느끼게 해 주며 Easy Drinking 와인으로 손색 없다.,Barton & Guestier,밝은 볏짚색,"해산물, 초밥, 흰살 고기 요리 등",美 대통령 Thomas Jefferson이 즐겨 마셨던 B&G 브랜드의 와인으로 가격대비 품질의 와인으로 전 세계 130여개국의 소비자들의 사랑을 받고 있다.,http://www.wine.co.kr/wine/579
32,Cuvee Special Rouge ,http://www.wine.co.kr/upload/products/wineList/france/Cuvee_Special_Rouge.png,12.5%,750ml,Red,Still,Dry,기타,"프랑스, 스페인","블랙베리향, 검은 과일향","파워풀하면서도 부드럽고 잘 갖춰진 밸런스가 특징이며, Easy Drinking 와인으로 손색 없다.<br />16~18도 사이의 온도에서 음용하면 더 좋은 맛을 느낄 수 있다.",Barton & Guestier,짙은 루비색,"붉은 육류 요리, 치즈 등",美 대통령 Thomas Jefferson이 즐겨 마셨던 B&G 브랜드의 와인으로 가격대비 품질의 와인으로 전 세계 130여개국의 소비자들의 사랑을 받고 있다.,http://www.wine.co.kr/wine/578
33,The Original DARKHORSE Chardonnay ,http://www.wine.co.kr/upload/products/wineList/america/20170328103646390.png,13.0%,750ml,White,Still,Dry,샤도네이,"미국, 캘리포니아",사과와 배의 풍부한 과일 향,브라운 스파이스와 카라멜 느낌의 오크 토스트,Dark Horse,밝은 황금색,"치즈, 샐러드, 해산물","잘 익은 포도를 캘리포니아 북부 지역인 Lodi, Delta, Clarksburg 지역에서 선별하여 부드럽게 압착하고, 손으로 선별한 효모를 이용하여 발효를 시작합니다. 1차 발효 이후, 와인은 발효 lees와 함께 6~8개월 정도 같이 숙성 시킵니다. 저온 탱크에서 신선한 과일향과 열대 아로마를 유지시키면서 오크의 크리미한 느낌을 간직한 풍부하고 우아한 와인이 만들어집니다. 구운 사과와 배의 풍부한 풍미와 입안에서 끌리는 브라운 스파이스와 카라멜 느낌의 다양한 오크 토스트를 맛볼 수 있으며, 피니시는 부드럽습니다.",http://www.wine.co.kr/wine/633
34,The Original DARKHORSE Cabernet Sauvignon ,http://www.wine.co.kr/upload/products/wineList/america/20170328110746070.png,13.0%,750ml,Red,Still,Dry,카버네 소비뇽,"미국, 캘리포니아",블랙베리와 다크 체리의 과실 향,"부드러운 탄닌의 구조감이 좋으며, 다크 초콜릿 에스프레소 느낌의 피니시가 인상적입니다.",Dark Horse,진한 자주빛의 붉은 색,"치즈, 소고기(스테이크), 돼지고기","1차 발효 이후, 일부는 부드러운 맛을 위하여 강한 타닌을 정제하고 씁쓸한 맛을 없앤 반면 구조감을 유지하면서 동시에 와인의 집중도를 높였습니다 . 포도는 캘리포니아 북부지역인 Lodi와 Delta 지역에서 선별합니다. 좋은 색상과 구조감, 과일의 캐릭터를 살리기위해 섭씨 30도 정도에서 발효를 진행합니다. 와인은 모든 아로마와 맛을 잘 유지하기 위해 스테인레스 스틸 탱크에서 4~9개월 동안 숙성시킵니다. 블랙 베리와 블랙 체리의 선 굵은 풍미와 함께 부드러운 탄닌과 브라운 스파이스 느낌이 있으며, 특히 다크 초콜릿 에스프레소같은 피니시를 느낄 수 있습니다.",http://www.wine.co.kr/wine/634
35,Dona Paula Seleccion de Bodega Malbec ,http://www.wine.co.kr/upload/products/wineList/argentina/DonaPaulaSelecciondeBodegaMalbec.png,13.5%,750ml,Red,Still,Dry,기타,아르헨티나 멘도사 Lujan de Cuyo,"바이올릿, 블루베리, 검정색 과일류 등의 향이 돋보입니다","블랙 페퍼, 흑연, 담배, 그리고 미네랄의 맛이 우아하게 조화되었습니다. 매우 집중적인 맛을 가지고 있고 스위트한 타닌이 입가에 머물며 여운을 남기는 와인으로 앞으로 6년 정도 숙성이 가능한 와인입니다.",Dona Paula,진하고 깊은 루비빛,"필레 미뇽, 오븐에 구운 갈비, 오리, 토끼, 양고기, 토마토 소스 파스타, 파마산, 체다 치즈 등",아르헨티나 최고의 와인산지인 멘도자의 중심에 자리잡고 있고 최근 2년간 아르헨티나 와인 수출성장부문에서 1위를 차지하는 성장력 있는 와이너리입니다.,http://www.wine.co.kr/wine/266
36,Dona Paula Estate Cabernet Sauvignon ,http://www.wine.co.kr/upload/products/wineList/argentina/DonaPaulaEstateCabernetSauvignon.png,13.5%,750ml,Red,Still,Dry,카버네 소비뇽,아르헨티나 멘도사 Lujan de Cuyo,"잘 익은 커런트, 흑연과 미네랄향이 복합적이며 집중적으로 표현되었고 구운 오크향이 은은하게 조화되었다",잘 익은 과일향과 함께 풍부한 타닌이 조화를 이루고 있으며 길고 은근한 뒷 여운이 인상적이다. 약 7년 정도 숙성 가능한 와인이다.,Dona Paula,짙은 루비 빛,"스테이크, 스튜, 구운 채소, 파스타, 살라미, 케밥, 미트볼, 쿠스쿠스, 야채스튜 등",아르헨티나 최고의 와인산지인 멘도자의 중심에 자리잡고 있고 최근 2년간 아르헨티나 와인 수출성장부문에서 1위를 차지하는 성장력 있는 와이너리입니다.,http://www.wine.co.kr/wine/268
37,Dona Paula Estate Malbec ,http://www.wine.co.kr/upload/products/wineList/argentina/DonaPaulaEstateMalbec.png,13.5%,750ml,Red,Still,Dry,기타,아르헨티나 멘도사 Lujan de Cuyo,"잘 익은 자두, 블랙베리, 블루베리, 감초, 블랙 페퍼, 민트, 송로버섯의 복합적인 아로마가 느껴지며 모카의 은은한 향이 전형적인 아르헨티나 와인의 특징을 보여주고 있습니다",스위트하고 부드러운 타닌으로 풍부하며 긴 여운을 지니고 있는 와인으로 앞으로 4-5년 숙성이 가능합니다.,Dona Paula,보라빛이 감도는 진한 붉은색의 와인,"필레 미뇽, 갈비, 오리, 토끼, 램 커틀릿, 미트볼, 야채스튜, 케밥, 파스타, 체다 치즈 등",아르헨티나 최고의 와인산지인 멘도자의 중심에 자리잡고 있고 최근 2년간 아르헨티나 와인 수출성장부문에서 1위를 차지하는 성장력 있는 와이너리입니다.,http://www.wine.co.kr/wine/267
38,Dona Paula Estate Shiraz-Malbec ,http://www.wine.co.kr/upload/products/wineList/argentina/DonaPaulaEstateShirazMalbec.png,13.5%,750ml,Red,Still,Dry,"쉬라즈, 기타",아르헨티나 멘도사 Tupungato,"진한 초콜릿, 블랙베리, 자두 등의 아로마가 풍부하게 느껴진다","스파이스, 민트와 약간의 감초의 맛을 지니고 있으며 매우 집중된 와인으로 섬세하고 잘 정제된 밸런스가 잘 조화되어 있습니다. 긴 여운을 가지고 있는 인상적인 레드 와인으로 적어도 6년 이상 숙성이 가능한 와인입니다.",Dona Paula,진한 붉은빛에 가까운 보라색,"갈비, 구운 오리요리, 토끼, 램 커틀릿, 미트볼, 각종 치즈, 야채스튜요리, 케밥, 파스타등",아르헨티나 최고의 와인산지인 멘도자의 중심에 자리잡고 있고 최근 2년간 아르헨티나 와인 수출성장부문에서 1위를 차지하는 성장력 있는 와이너리입니다.,http://www.wine.co.kr/wine/270
