title,image_link,winery,country,province,grape_type,wine_type,occasion,alcohol,sweetness,acidity,body_rate,tannin_rate,food_pairing,price,vintage,size
"도멘 앙리, 821 블랑 드 블랑 브뤼",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167780.png?643316,도멘 앙리,프랑스,부르고뉴,['샤르도네'],스파클링,"에피타이저, 테이블 와인",12.5,1,5,2,1,"해산물 요리, 훈제 연어, 초밥, 새위튀김, 브리치즈 등과 잘 어울린다.",106000,2017,750
샤또 라 로즈 몽비엘,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167779.png?192799,비뇨블 페레베쥬,프랑스,보르도,"['메를로', '카베르네 프랑']",레드,테이블 와인,13.5,1,4,4,3,"모든 육류, 치즈와 잘 어울림, 연어와 버섯을 곁들인 파스타 등과 잘 어울린다.",166000,2017,750
"레어 빈야드, 마르산느 비오니에",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167778.png?731719,레어 빈야드,프랑스,서던,"['마르산느', '비오니에']",화이트,"에피타이저, 테이블 와인",12.5,1,3,2,1,"바다가재, 생선류, 해산물 등과 잘 어울린다.",46000,2019,750
"레어 빈야드, 까버네 멜롯",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167777.png?158318,레어 빈야드,프랑스,서던,"['카베르네 소비뇽', '메를로']",레드,테이블 와인,13.5,1,3,4,3,"스테이크, 까망베르치즈, 초콜렛 등과 잘 어울린다.",46000,2018,750
"빌라 파니, 토스카나 로쏘 ",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167776.png?594346,빌라 파니,이탈리아,토스카나,"['산지오베제', '메를로', '카베르네 소비뇽']",레드,테이블 와인,12.5,1,4,3,3,"훈제, 양념 치즈, 미트소스 파스타 등과 잘 어울린다.",78000,750㎖,750
"포르투 발도우로, 화이트 포트",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167753.png?065136,포르투 발도우로,포르투갈,도우루,"['비오시뉴', '라비가토', '말바시아', '아린토']",주정강화,"에피타이저, 디저트 와인",19.5,5,3,5,1,"샐러드, 과일, 디저트 등과 잘 어울린다.
",30000,NV,750
"포르투 발도우로, 토니 포트",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167752.png?994582,포르투 발도우로,포르투갈,도우루,"['투리가 프란체사', '틴타 까오', '투리가 나시오날', '틴타 로리즈']",주정강화,"에피타이저, 디저트 와인",19.5,5,3,5,3,"치즈, 육류 뿐만 아니라 초콜릿과 같은 달콤한 디저트 등과도 잘 어울린다.",30000,NV,750
토로 셀렉시옹 시라 말벡,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167751.png?477221,페코비타,아르헨티나,멘도사,['시라/쉬라즈'],레드,테이블 와인,13.5,1,3,3,3,"제육볶음, 삼겹살, 돼지갈비찜, 소갈비찜, 불고기류, 순대 등과 잘 어울린다.",22000,2019,750
토로 셀렉시옹 말벡,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167750.png?534660,페코비타,아르헨티나,멘도사,['말벡'],레드,테이블 와인,12.5,1,3,3,3,"제육볶음, 삼겹살, 돼지갈비찜, 소갈비찜, 불고기류, 순대 등과 잘 어울린다.
",22000,2019,750
토로 셀렉시옹 슈냉 또론테스,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167749.png?085150,페코비타,아르헨티나,멘도사,"['슈냉 블랑', '토론테스']",화이트,"에피타이저, 테이블 와인",13.5,1,3,2,1,"회, 생선 초밥, 굴, 오징어 볶음, 낚지 볶음, 해파리 냉채 등과 잘 어울린다.",22000,2019,750
샤또 바라드,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167737.png?641706,샤또 바라드,프랑스,보르도,"['메를로', '카베르네 소비뇽']",레드,테이블 와인,14.5,1,3,3,3,"치즈, 찜, 스테이크 등과 잘 어울린다.",28000,2014,750
투보틀 샤르도네,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167733.png?727684,보데가스 이 비녜도스 데  아기레,칠레,NaN,['샤르도네'],화이트,"에피타이저, 테이블 와인",13.5,1,4,2,1,"신선한 치즈나, 해산물, 그린 샐러드 등과 잘 어울린다.",9000,2019,750
"세코야 그로브, 나파 밸리 샤도네이",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167730.png?302258,세코야 그로브,미국,캘리포니아,['샤르도네'],화이트,"에피타이저, 테이블 와인",14.5,1,3,3,1,"신선한 허브 샐러드, 숙성된 섬세한 브리치즈 등과 잘 어울린다.",160000,2018,750
"세코야 그로브, 나파밸리 카베르네 소비뇽",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167728.png?292156,세코야 그로브,미국,캘리포니아,"['카베르네 소비뇽', '카베르네 프랑', '메를로', '말벡', '쁘띠 베르도']",레드,테이블 와인,14.5,1,3,4,4,"블루치즈, 타코, 매운 버팔로 윙, 소고기 등과 잘 어울린다.",180000,2017,750
"사이클즈 글래디에이터, 진판델",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167727.png?919878,사이클즈 글래디에이터,미국,캘리포니아,['진판델'],레드,테이블 와인,14.5,1,3,4,3,"다양한 육류요리, 특히 양고기 요리, 풍성한 느낌의 파스타 등과 잘 어울린다.",45000,2017,750
"와이너리 온, 데뮤에르떼 디럭스",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167723.png?785330,와이너리 온,스페인,예클라,"['모나스트렐', '시라/쉬라즈', '쁘띠 베르도']",레드,테이블 와인,14.5,1,3,4,3,"붉은색의 육류 및 파스타, 핑거 푸드 등과 잘 어울린다.",70000,2017,750
"와이너리 온, 데뮤에르떼 화이트",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167722.png?405184,와이너리 온,스페인,예클라,"['소비뇽 블랑', '베르데호']",화이트,"에피타이저, 테이블 와인",12.5,1,4,2,1,"해산물, 파스타, 핑거푸드 등과 잘 어울린다.",35000,2019,750
"와이너리 온, 데뮤에르떼 원",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167721.png?935606,와이너리 온,스페인,예클라,"['모나스트렐', '카베르네 소비뇽']",레드,테이블 와인,14.5,1,3,4,4,"붉은색의 육류 및 파스타, 핑거 푸드 등과 잘 어울린다.",35000,2017,750
"제이씨스 오운, 오리지날레",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167720.png?438549,제이씨스 오운,호주,사우스,['그르나슈'],레드,테이블 와인,14.5,1,4,4,3,"양갈비, 스테이크, 치즈 등과 잘 어울린다.",130000,2016,750
"몬테스 알파, 카버네 소비뇽 한글 레이블",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167719.png?021552,몬테스,칠레,라펠,['카베르네 소비뇽'],레드,테이블 와인,14.5,1,3,4,4,"모든 붉은육류, 양고기, 볼로네제 파스타 등과 잘 어울린다.",49000,2018,750
버블 넘버원 반빈 에디션,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167718.png?542036,쉬르 다르크 (씨에르 다르퀴),프랑스,서던,"['샤르도네', '슈냉 블랑', '모작']",스파클링,"에피타이저, 테이블 와인",12.5,1,4,3,1,"보쌈, 냉채 족발 등과 잘 어울린다.",65000,NV,750
"로쉐 마제, 생쏘 그르나슈",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167717.png?098968,카스텔,프랑스,서던,"['쌩쏘', '그르나슈']",로제,"에피타이저, 테이블 와인",12.5,1,3,2,1,"칵테일 새우, 카나페 등 가벼운 핑거푸드, 파티 음식과도 잘 어울리며 닭고기, 오리고기 등과 잘 어울린다.
",6000,NV,250
"로쉐 마제, 소비뇽",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167716.png?641200,카스텔,프랑스,서던,['소비뇽 블랑'],화이트,"에피타이저, 테이블 와인",12.5,1,4,2,1,"식전주로 좋으며 구운 생선, 해산물, 소프트한 브리 치즈 등과 잘 어울린다.
",6000,NV,250
"오차가비아, 실베스트레 메를로",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167715.png?954559,오차가비아,칠레,센트럴,['메를로'],레드,테이블 와인,13.0,1,3,3,3,"바비큐폭립, 인도요리, 치즈 등과 잘 어울린다.",25000,2019,750
"맥기건, 블랙 라벨 레드",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167649.png?418178,맥기건,호주,사우스,"['시라/쉬라즈', '블랜드']",레드,테이블 와인,12.5,1,3,3,3,"토마토 베이스 이탈리안 파스타와 피자, 다양한 아시아 요리 등과 잘 어울린다.",44000,2019,750
"맥기건, 블랙 라벨 모스카토",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167648.png?891221,맥기건,호주,사우스,['모스카토'],화이트,"에피타이저, 디저트 와인",8.5,4,3,2,1,"신선한 과일과 여름용 샐러드, 태국 음식 등 다양한 아페리티프로 잘 어울린다.",44000,2018,750
"맥기건, 블랙 라벨 스파클링 샤도네이 피노누아",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167647.png?389722,맥기건,호주,사우스,"['샤르도네', '피노 누아']",스파클링,"에피타이저, 테이블 와인",12.5,1,4,2,1,신선한 해산물 요리 등 다양한 아페리티프 요리 등과 잘 어울린다.,44000,NV,750
"안델루나, 라이시스 말벡",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167646.png?039419,안델루나,아르헨티나,멘도사,['말벡'],레드,테이블 와인,14.5,1,3,3,3,"양고기, 로스트 포크, 육즙이 풍부한 붉은 육류, 머쉬룸 크림 소스 등과 잘 어울린다.",44000,2017,750
"버메스터, 타우니 포트",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167644.png?216965,버메스터,포르투갈,포르토,['블랜드'],주정강화,"에피타이저, 디저트 와인",19.5,5,1,5,3,"브리 또는 가벼운 치즈, 건 과일, 캐러멜 또는 커피, 토피 디저트, 호두 파이, 티라미슈, 무화과 타르트 등과 잘 어울린다.",42000,NV,750
"토레 오리아, 세뇨리오 드 세고르베 그랑 레제르바",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167643.png?856806,토레 오리아,스페인,발렌시아,"['템프라니요', '카베르네 소비뇽']",레드,테이블 와인,13.5,1,4,3,3,"진한 소스의 스테이크, 스튜 등의 소고기 요리 등과 잘 어울린다. 
",70000,2011,750
"펠릭스 솔리스, FYI 레드 블렌드",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167642.png?484270,펠리스 솔리스,스페인,NaN,"['템프라니요', '카베르네 소비뇽', '가르나차']",레드,테이블 와인,14.5,1,3,3,3,"다양한 양고기 요리, 특히 블루치즈 등과 잘 어울린다.",42000,2017,750
"깐띠네 첼라로, 솔레아 네로 다볼라",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167639.png?682579,판티니 그룹,이탈리아,시칠리아,['네로 다볼라'],레드,테이블 와인,14.5,1,3,3,3,"바비큐, 로스트 비프, 닭과 오리 등의 가금류, 중간 정도 숙성된 치즈 등과 잘 어울린다.",50000,2018,750
"카셀레티, 1850 프리미티보 디 만두리아",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167589.png?204096,카셀레티,이탈리아,뿔리아,['프리미티보'],레드,테이블 와인,15.5,1,3,4,3,"스테이크, 치즈 등과 잘 어울린다.",70000,2018,750
"스택스 립 와인 셀라, 카리아 샤도네이",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167579.png?598735,스택스 립 와인 셀라,미국,캘리포니아,['샤르도네'],화이트,"에피타이저, 테이블 와인",14.5,1,4,4,1,"닭가슴살을 넣은 시저샐러드, 크림소스를 곁들인 생선 요리 등과 잘 어울린다.",99000,2018,750
"비냐 올리바, 라스 구아리다스",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167564.png?520662,비냐 올리바,스페인,리베라,['템프라니요'],레드,테이블 와인,14.5,1,2,4,4,"불고기, 삼겹살, 소고기, 파스타 및 부드러운 치즈 등과 잘 어울린다.",42000,2019,750
"슬롭 오브 나파, 까베르네 소비뇽 나파 밸리",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167506.png?050559,슬롭 오브 나파,미국,캘리포니아,"['카베르네 소비뇽', '메를로', '쁘띠 베르도']",레드,테이블 와인,14.5,1,2,3,3,"향이 강한 육류요리, 굴라쉬, 소고기 등심 스테이크 등과 잘 어울린다.",29000,2017,750
"뀌베 디즈네, 까베르네 소비뇽",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167505.png?520376,뀌베 디즈네,프랑스,서던,['카베르네 소비뇽'],레드,테이블 와인,13.5,1,3,3,3,"미트볼 스파게티. 오리 가슴 콩피, 다크 초콜릿 등과 잘 어울린다.",50000,2019,750
"뀌베 디즈네, 피노누아",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167504.png?048477,뀌베 디즈네,프랑스,서던,['피노 누아'],레드,테이블 와인,13.5,1,4,3,3,"숙성된 치즈, 오리나 치킨과 같은 가금류 요리, 돼지 고기 등과 잘 어울린다.",50000,2019,750
"뀌베 디즈네, 샤르도네",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167503.png?534408,뀌베 디즈네,프랑스,서던,['샤르도네'],화이트,"에피타이저, 테이블 와인",13.5,1,4,2,1,"인도 요리, 버섯을 곁들인 가금류 요리, 부드러운 치즈 등과 잘 어울린다.",50000,2019,750
트라마 산지오베제 리제르바,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167501.png?366718,보떼르,이탈리아,에밀리아,['산지오베제'],레드,테이블 와인,13.5,1,3,3,3,"스테이크 ,치즈 등과 잘 어울린다.",60000,2016,750
1865 마스터 블렌드,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167488.png?827030,산 페드로,칠레,센트럴,"['시라/쉬라즈', '말벡', '카베르네 소비뇽', '쁘띠 베르도']",레드,테이블 와인,14.5,1,4,5,4,"소고기, 치즈, 훈제 요리 등과 잘 어울린다.",100000,2017,750
1865 셀렉티드 콜렉션 올드 바인,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167487.png?341701,산 페드로,칠레,라펠,['카베르네 소비뇽'],레드,테이블 와인,14.5,1,4,5,4,"붉은 육류, 치즈, 훈제 요리 등과 잘 어울린다.",150000,2016,750
"페르티나체, 바르바레스코",NaN,칸티나 비나이오리 엘비오 페르티나체,이탈리아,피에몬테,['네비올로'],레드,테이블 와인,14.5,1,4,3,4,"돼지 바베큐, 풍부한 소스의 육류 요리 등과 잘 어울린다.",106000,2016,750
"트룰리, 루깔레 프리미티보",NaN,트룰리,이탈리아,뿔리아,['프리미티보'],레드,테이블 와인,14.5,1,3,4,4,"스테이크, 치즈 등과 잘 어울린다.",42000,2017,750
"미쉘 린치, 보르도 화이트 오가닉",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167482.png?388981,미쉘 린취 - 장 미쉘 까즈,프랑스,보르도,['소비뇽 블랑'],화이트,"에피타이저, 테이블 와인",12.5,1,4,2,1,가벼운 치즈와 해산물 등과 잘 어울린다.,48000,2016,750
"라포스톨, 레드 블렌드",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167475.jpg?426242,라포스톨 (까사 라포스톨),칠레,라펠,"['카르메네르', '메를로', '시라/쉬라즈', '카베르네 소비뇽', '쁘띠 베르도']",레드,테이블 와인,14.5,1,3,4,4,"장어구이, 불고기, 양갈비, 돼지갈비, 스테이크와 잘 어울린다.",50000,2015,750
도스 코파스 리제르바,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167472.png?585589,까사 산토스 리마,포르투갈,리스본,"['투리가 나시오날', '카스텔라옹', '카베르네 소비뇽', '시라/쉬라즈']",레드,테이블 와인,11.5,1,2,3,3,"그레이비 소스를 곁들인 가금류 요리, 불고기, 돼지갈비, 잘 숙성된 치즈 등과 잘 어울린다.",8000,2017,750
브래스 택스 샤도네이,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167462.png?850920,와인 스팟스,미국,캘리포니아,['샤르도네'],화이트,"에피타이저, 테이블 와인",13.5,1,3,2,1,"치즈, 샐러드, 해산물 등과 잘 어울린다.",85000,2018,750
브래스 택스 레드 블렌드,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167461.png?369050,와인 스팟스,미국,캘리포니아,"['카베르네 소비뇽', '쁘띠 시라', '쁘띠 베르도', '진판델', '메를로']",레드,테이블 와인,15.5,1,3,4,2,"파스타, 치즈, 스테이크 등과 잘 어울린다.",85000,2018,750
"와인 스팟스, 나파밸리 까베르네 쇼비뇽",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167460.png?880904,와인 스팟스,미국,캘리포니아,['카베르네 소비뇽'],레드,테이블 와인,14.5,1,2,5,4,"스테이크, 숙성된 치즈 등과 잘 어울린다.
",170000,2017,750
"와인 스팟스, 소노마 코스트 피노 누아",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167459.png?313811,와인 스팟스,미국,캘리포니아,['피노 누아'],레드,테이블 와인,14.5,1,3,3,3,"오리고기, 치즈 등과 잘 어울린다.",170000,2018,750
"캐년 오크, 까베르네 소비뇽",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167456.png?778669,캐년 오크 빈야드,미국,캘리포니아,['카베르네 소비뇽'],레드,테이블 와인,13.5,1,3,3,3,"스테이크, 파스타, 피자 등과 잘 어울린다.",25000,2017,750
"캐년 오크, 샤르도네",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167455.png?326313,캐년 오크 빈야드,미국,캘리포니아,['샤르도네'],화이트,"에피타이저, 테이블 와인",13.5,1,3,3,1,"해산물, 샐러드 등과 잘 어울린다.",25000,2018,750
"캠브리아, 케서린 빈야드 샤르도네",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167454.png?856894,캠브리아 에스테이트 와이너리,미국,캘리포니아,['샤르도네'],화이트,"에피타이저, 테이블 와인",14.5,1,3,4,1,"해산물, 견과류, 샐러드 등과 잘 어울린다.",100000,2018,750
"캠브리아, 줄리아 빈야드 피노 누아",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167453.png?302544,캠브리아 에스테이트 와이너리,미국,캘리포니아,['피노 누아'],레드,테이블 와인,14.5,1,4,3,3,"오리고기, 치즈 등과 잘 어울린다.",130000,2017,750
"나파 파라다이스, 샤르도네",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167452.png?808425,나파 파라다이스,미국,캘리포니아,['샤르도네'],화이트,"에피타이저, 테이블 와인",14.5,1,3,2,1,"크림소스를 곁들인 생선요리, 베리류 소스를 곁들인 가금류, 사과 콩포테를 곁들인 돼지고기 요리 등과 잘 어울린다.",55000,2018,750
"나파 파라다이스, 까베르네 소비뇽",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167451.png?281214,나파 파라다이스,미국,캘리포니아,['카베르네 소비뇽'],레드,테이블 와인,14.5,1,1,4,3,"향신료를 사용한 이국적인 육류 요리, 크림을 곁들인 가금류 요리 등과 잘 어울린다.",55000,2018,750
"패시지, 캘리포니아 진판델",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167450.png?790364,패시지,미국,캘리포니아,['진판델'],레드,테이블 와인,14.5,1,1,4,3,"향이 강한 붉은 색 육류, 불고기, 갈비찜, 토마토 스튜 등과 잘 어울린다.",20000,2018,750
샹파뉴 끌로드 바롱 페를르 로제,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167449.png?265929,샹파뉴 바롱 알베르트,프랑스,샹파뉴,"['샤르도네', '피노 뮈니에', '피노 누아']",스파클링,"에피타이저, 테이블 와인",12.5,1,4,2,1,"양고기를 이용한 요리, 딸기, 루바브 등을 이용한 요리 등과 잘 어울린다.",54000,NV,750
샹파뉴 끌로드 바롱 사파이어,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167448.png?945081,샹파뉴 바롱 알베르트,프랑스,샹파뉴,"['샤르도네', '피노 누아', '피노 뮈니에']",스파클링,"에피타이저, 테이블 와인",12.5,1,4,2,1,"향신료가 많이 사용된 이국적인 요리, 치즈 수플레 등과 잘 어울린다.
",54000,NV,750
투 보틀 돌체 비앙코,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167447.png?608201,프라텔리 마티니,이탈리아,피에몬테,['모스카토'],레드,"에피타이저, 디저트 와인",5.5,4,2,2,1,"달콤한 디저트, 다양한 빵, 생크림을 올린 케이크 등과 잘 어울린다.",9000,NV,750
투 보틀 까베르네 소비뇽,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167446.png?248969,보데가스 이 비녜도스 데  아기레,칠레,센트럴,['카베르네 소비뇽'],레드,테이블 와인,13.5,1,3,3,3,"오븐에서 로스팅한 소고기, 라구 소스를 곁들인 파스타 등과 잘 어울린다.",9000,2019,750
샹파뉴 루이 뒤몽,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167445.png?823764,G.H. 마르텔,프랑스,샹파뉴,"['피노 누아', '피노 뮈니에', '샤르도네']",스파클링,"에피타이저, 테이블 와인",12.5,1,4,1,1,"식전주, 흰살코기 요리, 각종 해산물 등과 잘 어울린다.",60000,NV,750
발혼도 까바 브륏,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167444.png?502479,마르께스 데 라 꽁꼬르디아,스페인,NaN,"['자렐로', '마카베오', '빠레야다']",스파클링,"에피타이저, 테이블 와인",11.5,1,3,1,1,"가벼운 소스를 가미한 닭고기, 신선한 샐러드, 담백한 해산물요리, 토마토소스 파스타, 다양한 종류의 타파스 등과 잘 어울린다.",18000,NV,750
"페트라, 징가리 비앙코",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167443.png?143135,페트라,이탈리아,토스카나,"['샤르도네', '트레비아노', '비오니에']",화이트,"에피타이저, 테이블 와인",12.5,1,3,2,1,"해산물, 샐러드, 치즈 등과 잘 어울린다.",46000,2019,750
"페트라, 징가리 로사토",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167442.png?672692,페트라,이탈리아,토스카나,"['산지오베제', '그르나슈']",로제,"에피타이저, 테이블 와인",13.5,1,3,2,2,"샐러드, 해산물, 치즈 등과 잘 어울린다.",46000,2018,750
"고세, 엑설렁스 엑스트라 브뤼",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167440.png?237854,샴페인 고세,프랑스,샹파뉴,"['피노 누아', '샤르도네', '피노 뮈니에']",스파클링,"에피타이저, 테이블 와인",12.5,1,5,3,1,"식전주, 굴, 조개류등과 잘 어울린다.",110000,NV,750
"일 보로, 페트루나",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167438.png?325156,일 보로,이탈리아,토스카나,['산지오베제'],레드,테이블 와인,13.5,1,4,5,4,"스테이크, 양갈비, 치즈 등과 잘 어울린다.",190000,2017,750
"일 보로, 보리지아노",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167437.png?867352,일 보로,이탈리아,토스카나,"['메를로', '시라/쉬라즈', '산지오베제']",레드,테이블 와인,13.5,1,4,4,4,"스테이크, 파스타, 치즈 등과 잘 어울린다.",60000,2018,750
"일 보로, 로제 델 보로",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167436.png?375863,일 보로,이탈리아,토스카나,['산지오베제'],로제,"에피타이저, 테이블 와인",13.5,1,3,3,1,"식전주, 생선, 해산물, 전채 요리 등으로 잘 어울린다.",36000,2019,750
"말도나도, 파 빈야드 샤도네이",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167405.png?147080,말도나도 빈야즈,미국,캘리포니아,['샤르도네'],화이트,"에피타이저, 테이블 와인",14.5,1,3,4,1,"치즈, 해산물, 샐러드 등과 잘 어울린다.",170000,2016,750
"로쉐 마제, 피노누아",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167301.png?777806,카스텔,프랑스,서던,['피노 누아'],레드,테이블 와인,12.5,1,4,3,3,"오리고기, 달곡기, 숙성된 치즈, 딸기 등과 잘 어울린다.",22000,2018,750
1000스토리 까베르네 소비뇽,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167270.png?516179,페처,미국,캘리포니아,['카베르네 소비뇽'],레드,테이블 와인,14.5,1,2,4,5,"시가, 토마호크 스테이크, 향신료를 곁들인 야생 육류 요리 등과 잘 어울린다.",39000,2017,750
