,title,image_link,winery,country,province,grape_type,wine_type,alcohol,sweetness,acidity,body_rate,tannin_rate,food_pairing,price,vintage,size,link,aroma_y,meat,cheese,seafood,vegetables,dessert,floral,fruit,citrus,oriental_spice,oriental_leather,earth,dark_aroma,fruity_aroma,europe_a,europe_b,north_america,south_america,new_world,korea,red,white,wine_id
10,"도멘 앙리, 샤블리 ‘쌩 삐에흐’",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167781.png?623608,도멘 앙리,프랑스,부르고뉴,샤르도네,white,13.5,1.0,4.0,2.0,1.0,"연어, 참치, 갑각류, 향이 연하고 부드러운 치즈, 치킨 파히타 등과 잘 어울린다.",116000.0,2018,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167781,"엷은 노란색을 띠고 레몬, 시트러스, 플로럴한 아로마가 느껴진다. 입 안에서는 레몬, 이스트, 크리스피한 미네랄리티에 깃든 살구 풍미가 매력적인 와인이다.
116,000원 (750㎖) 빈티지코리아",1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10
11,샤또 라 로즈 몽비엘,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167779.png?669080,비뇨블 페레베쥬,프랑스,보르도,메를로,red,13.5,1.0,4.0,4.0,3.0,"모든 육류, 치즈와 잘 어울림, 연어와 버섯을 곁들인 파스타 등과 잘 어울린다.",166000.0,2017,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167779,"짙은 붉은색을 띠고 과일향이 만면에 드러나며 우아하고 향이 풍부한 뽀므롤의 전형적인 아로마가 느껴진다. 입 안에서는 부드러운 질감에 강렬한 과일의 맛은 메를로에서 구조감과 산뜻한 산미를 카베르네 프랑에서 뿜어져 나오며 긴 숙성으로 인해 영 빈티지임에도 아ㅗㄴ벽한 타닌을 만끽 가능한 와인이다. 프렌치 오크통에서 16개월간 숙성했다.
166,000원 (750㎖) 빈티지코리아",1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11
12,"레어 빈야드, 마르산느 비오니에",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167778.png?208013,레어 빈야드,프랑스,서던,마르산느,white,12.5,1.0,3.0,2.0,1.0,"바다가재, 생선류, 해산물 등과 잘 어울린다.",46000.0,2019,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167778,"밝은 황금색을 띠고 미네랄, 복숭아, 살구의 아로마가 느껴진다. 입 안에서는 미디엄 바디에 부드러운 목넘김, 좋은 균형감, 산뜻한 산미, 상쾌한 피니쉬가 매력적인 와인이다.
46,000원 (750㎖) 와이 브라더스 컴퍼니",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12
13,"레어 빈야드, 까버네 멜롯",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167777.png?492562,레어 빈야드,프랑스,서던,카베르네 소비뇽,red,13.5,1.0,3.0,4.0,3.0,"스테이크, 까망베르치즈, 초콜렛 등과 잘 어울린다.",46000.0,2018,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167777,"어두운 체리색을 띠고 블랙커런트, 블랙베리, 초콜렛, 토스트의 아로마가 느껴진다. 입 안에서는 풀바디의 실키한 타닌이 입 안을 매끄럽게 코팅시켜 주고 블랙베리류의 아로마와 타닌이 조화를 이루며 구조감도 훌륭한 와인이다.
46,000원 (750㎖) 와이 브라더스 컴퍼니",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13
14,"빌라 파니, 토스카나 로쏘 ",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167776.png?238449,빌라 파니,이탈리아,토스카나,산지오베제,red,12.5,1.0,4.0,3.0,3.0,"훈제, 양념 치즈, 미트소스 파스타 등과 잘 어울린다.",78000.0,750㎖,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167776,"루비색을 띠고 블랙베리의 아로마가 느껴진다. 입 안에서는 균형이 잘 잡혀있고 부드러운 타닌이 매력적인 와인이다.
78,000원 (750㎖) 몬도델비노 코리아",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14
15,"포르투 발도우로, 화이트 포트",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167753.png?405615,포르투 발도우로,포르투갈,도우루,비오시뉴,red,19.5,5.0,3.0,5.0,1.0,"샐러드, 과일, 디저트 등과 잘 어울린다.
",30000.0,NV,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167753,"옅은 볏짚색을 띠고 잘 익은 열대 과일, 풍부한 과일의 아로마가 느껴진다. 입 안에서는 약간의 오크 숙성으로 우아하면서 기분 좋은 산미, 잘 익은 과일 맛과 견과류 풍미가 매력적인 와인이다.
30,000원 (750㎖) 레뱅드매일",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15
16,"포르투 발도우로, 토니 포트",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167752.png?699326,포르투 발도우로,포르투갈,도우루,투리가 프란체사,red,19.5,5.0,3.0,5.0,3.0,"치즈, 육류 뿐만 아니라 초콜릿과 같은 달콤한 디저트 등과도 잘 어울린다.",30000.0,NV,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167752,"호박색을 띠고 붉은 과일, 약간의 검은 과일, 호두, 아몬드의 견과류 아로마가 느껴진다. 입 안에서는 오크 숙성으로 인한 섬세한과 부드러움이 느껴지고 시간이 지날 수록 더욱 복합적인 향이 어우러지는 와인이다.
30,000원 (750㎖) 레뱅드매일",1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,16
17,토로 셀렉시옹 시라 말벡,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167751.png?556092,페코비타,아르헨티나,멘도사,시라/쉬라즈,red,13.5,1.0,3.0,3.0,3.0,"제육볶음, 삼겹살, 돼지갈비찜, 소갈비찜, 불고기류, 순대 등과 잘 어울린다.",22000.0,2019,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167751,"바이올렛 빛 루비색을 띠고 자두, 블랙베리 등의 붉은 과일과 검은 과일의 아로마가 느껴진다. 입 안에서는 둥근 타닌, 뛰어난 구조감, 스파이시한 풍미가 인상적인 와인이다.
22,000원 (750㎖) 레뱅드매일",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17
18,토로 셀렉시옹 말벡,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167750.png?894577,페코비타,아르헨티나,멘도사,말벡,red,12.5,1.0,3.0,3.0,3.0,"제육볶음, 삼겹살, 돼지갈비찜, 소갈비찜, 불고기류, 순대 등과 잘 어울린다.
",22000.0,2019,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167750,"바이올렛 빛 루비색을 띠고 자두와 약간의 스파이시한 아로마가 느껴진다. 입 안에서는 신선하고 부드러운 타닌과 과일맛이 특징적인 와인이다.
22,000원 (750㎖) 레뱅드매일",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,18
19,토로 셀렉시옹 슈냉 또론테스,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167749.png?682301,페코비타,아르헨티나,멘도사,슈냉 블랑,white,13.5,1.0,3.0,2.0,1.0,"회, 생선 초밥, 굴, 오징어 볶음, 낚지 볶음, 해파리 냉채 등과 잘 어울린다.",22000.0,2019,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167749,"옅은 연두 빛을 띄는 노란색을 띠고 장미, 포도, 배의 아로마가 느껴진다. 입 안에서는 신선하고 적절한 볼륨, 산도 그리고 훌륭한 균형감이 매력적인 와인이다.
22,000원 (750㎖) 레뱅드매일",1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,19
20,샤또 바라드,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167737.png?664458,샤또 바라드,프랑스,보르도,메를로,red,14.5,1.0,3.0,3.0,3.0,"치즈, 찜, 스테이크 등과 잘 어울린다.",28000.0,2014,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167737,"진한 자주색을 띠고 붉은 과실, 후추의 아로마가 느껴진다. 입 안에서는 기분 좋은 타닌이 느껴지고 부드럽고 우아한 밸런스를 느낄 수 있다.
28,000원 (750㎖) 엘비",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20
21,투보틀 샤르도네,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167733.png?648390,보데가스 이 비녜도스 데  아기레,칠레,,샤르도네,white,13.5,1.0,4.0,2.0,1.0,"신선한 치즈나, 해산물, 그린 샐러드 등과 잘 어울린다.",9000.0,2019,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167733,"밝은 노란색을 띠고 열대 과일, 복숭아, 파인애플의 맛이 프레시하게 조화를 이루며 입 안에서 느껴지는 지속력이 뛰어난 와인이다.

포도를 3월 중순 이른 아침에 수확하여, 20일 동안 12-14도로 유지되는 스테인리스 스틸 탱크에서 낮은 압력으로 숙성시켜 풍부한 향을 만들어 냈다.
9,980원 (750㎖) 신세계엘앤비",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21
22,"세코야 그로브, 나파 밸리 샤도네이",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167730.png?700952,세코야 그로브,미국,캘리포니아,샤르도네,white,14.5,1.0,3.0,3.0,1.0,"신선한 허브 샐러드, 숙성된 섬세한 브리치즈 등과 잘 어울린다.",160000.0,2018,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167730,"옅은 황금색을 띠고 시트러스, 꽃, 미네랄의 섬세하고 신선한 아로마가 느껴진다. 입 안에서는 훌륭한 밸런스에 미디엄 바디가 느껴지며 구운 사과, 배, 구운 오크의 풍미가 인상적인 와인이다. 프렌치 오크통에서 숙성했다.
160,000원 (750㎖) 무학주류상사",0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,22
23,"세코야 그로브, 나파밸리 카베르네 소비뇽",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167728.png?136934,세코야 그로브,미국,캘리포니아,카베르네 소비뇽,red,14.5,1.0,3.0,4.0,4.0,"블루치즈, 타코, 매운 버팔로 윙, 소고기 등과 잘 어울린다.",180000.0,2017,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167728,"진한 루비색을 띠고 블랙 체리, 모카, 바닐라, 카라멜, 무화과의 아로마가 느껴지고 입 안에서는 시나몬, 블랙 베리 파이, 말린 체리의 풍미에 타닌, 균형 잡힌 산미 등이 오랫동안 깊은 여운을 남기는 와인이다. 프렌치 오크통에서 20개월간 숙성했다.
180,000원 (750㎖) 무학주류상사",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23
24,"사이클즈 글래디에이터, 진판델",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167727.png?757725,사이클즈 글래디에이터,미국,캘리포니아,진판델,red,14.5,1.0,3.0,4.0,3.0,"다양한 육류요리, 특히 양고기 요리, 풍성한 느낌의 파스타 등과 잘 어울린다.",45000.0,2017,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167727,"루비색을 띠고 풍부한 체리, 구운 오크, 후추, 감초의 아로마가 느껴진다. 입 아넹서는 블랙베리, 자두의 아로마가 우아한 타닌과 잘 어우러져 훌륭한 밸런스를 보여주는 와인이다.
45,000원 (750㎖) 무학주류상사",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,24
25,"와이너리 온, 데뮤에르떼 디럭스",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167723.png?806232,와이너리 온,스페인,예클라,모나스트렐,red,14.5,1.0,3.0,4.0,3.0,"붉은색의 육류 및 파스타, 핑거 푸드 등과 잘 어울린다.",70000.0,2017,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167723,"진하고 어두운 체리색을 띠고 오크, 스파이스, 잘 익은 과일의 아로마가 느껴진다. 입 안에서는 잘 익은 부드러운 타닌과 함께 매끄러운 맛이 느껴지는 와인이다. 프렌치 오크통에서 18개월간 숙성했다.
70,000원 (750㎖)",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,25
26,"와이너리 온, 데뮤에르떼 화이트",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167722.png?286365,와이너리 온,스페인,예클라,소비뇽 블랑,white,12.5,1.0,4.0,2.0,1.0,"해산물, 파스타, 핑거푸드 등과 잘 어울린다.",35000.0,2019,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167722,"옅은 볏짚색을 띠고 열대과일, 시트러스, 살구, 시럽에 절인 복숭아, 흰 꽃 등의 아로마가 느껴진다. 입 안에서는 신선한 맛으로 시작되어 크리미, 오일리한 맛에 뛰어난 산도, 여운이 길게 남는 와인이다.
35,000원 (750㎖)",0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,26
27,"와이너리 온, 데뮤에르떼 원",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167721.png?867141,와이너리 온,스페인,예클라,모나스트렐,red,14.5,1.0,3.0,4.0,4.0,"붉은색의 육류 및 파스타, 핑거 푸드 등과 잘 어울린다.",35000.0,2017,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167721,"체리색을 띠고 잘 익은 딸기류, 부드럽게 그을린 오크의 아로마가 느껴진다. 입 안에서는 오크향이 폭 넓고 기분좋은 긴 여운을 제공하며 부드럽고 유연한 맛이 인상적인 와인이다. 프렌치 오크통에서 6개월간 숙성했다.
35,000원 (750㎖)",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,27
28,"제이씨스 오운, 오리지날레",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167720.png?280128,제이씨스 오운,호주,사우스,그르나슈,red,14.5,1.0,4.0,4.0,3.0,"양갈비, 스테이크, 치즈 등과 잘 어울린다.",130000.0,2016,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167720,"루비-보라빛을 띠고 블랙 베리, 블랙 커런트, 블루 베리, 체리, 말린 나무, 오크, 블랙 페퍼, 커민, 타임의 아로마가 느껴진다. 입 안에서는 부드럽지만 깊이 있고 풍부한 타닌의 질감은 매력적이며 우아하고 긴 여운을 만들어 내는 와인이다. 500L 프렌치 오크통에서 18개월간 숙성했다.
130,000원 (750㎖) 모멘텀 와인 컴퍼니",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,28
29,"몬테스 알파, 카버네 소비뇽 한글 레이블",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167719.png?891364,몬테스,칠레,라펠,카베르네 소비뇽,red,14.5,1.0,3.0,4.0,4.0,"모든 붉은육류, 양고기, 볼로네제 파스타 등과 잘 어울린다.",49000.0,2018,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167719,"강렬한 루비색을 띠고 블랙커런트, 시가 박스, 바닐라, 민트의 과실과 오크의 조화를 이룬 복합적인 아로마가 느껴진다. 입 안에서는 적당한 무게와 잘 짜여진 구조, 오래 숙성하지 않아도 마시기 쉬우나 5년 정도 숙성하면 그 진가를 나타내는 와인이다.

*4,500병 한정 판매한다.
49,000원 (750㎖) 나라셀라",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,29
30,"오차가비아, 실베스트레 메를로",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167715.png?447463,오차가비아,칠레,센트럴,메를로,red,13.0,1.0,3.0,3.0,3.0,"바비큐폭립, 인도요리, 치즈 등과 잘 어울린다.",25000.0,2019,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167715,"보랏빛을 지닌 루비 레드색을 띠고, 자두, 블랙베리, 블루베리 등 검은 과일류의 달콤한 아로마에 은은한 박하향의 산뜻한 조화가 일품인 와인이다. 섬세하고 부드러운 타닌과 벨벳처럼 매끄러운 질감이 주는 탄탄한 구조감과 진한 여운이 특징이다.

실베스트레 메를로는 칠레 와인의 선구자이자 와이너리 설립자인 ‘실베스트레 오차가비아’를 기념하는 와인이다. 7일동안 온도조절 장치가 있는 스틸 탱크에서 발효 후 25도에서 다시 7일동안 ‘마세라시옹’ 하며 젖산발효는 자연스럽게 이루어진다. 싱그럽고 프루티한 스타일을 위해 오크 숙성은 하지 않는다.
25,000원 (750㎖) 와이 브라더스 컴퍼니",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,30
31,"맥기건, 블랙 라벨 레드",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167649.png?112755,맥기건,호주,사우스,시라/쉬라즈,red,12.5,1.0,3.0,3.0,3.0,"토마토 베이스 이탈리안 파스타와 피자, 다양한 아시아 요리 등과 잘 어울린다.",44000.0,2019,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167649,"체리 루비색을 띠고 강렬한 체리, 블랙 커런트, 오크의 아로마가 느껴진다. 입 안에서는 매끄러운 질감과 잘 익은 딸기, 체리의 풍미에 긴 여운이 남는 와인이다.
44,000원 (750㎖) (주)와이넬",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,31
